hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_faced,stack_size,bet_this_street,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result,oppn_hand,current_hand_win,hand_num,running_average,bet_val_vector,act_val_vector,num_draw_vector,allin_vs_oppn,stdev_vs_oppn,allin_vs_random,stdev_vs_random,allin_categories_vector
"[5s,Qc]",3,,,Tartanian7,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,0.0,100,0.0,,,200.0,0.0,200.0,-200.0,-100,-100.0,"[As,9c]",0.5,1,nan,[],[],,0.39500000000000002,0.48885069295235739,0.495,0.49241750578142529,"[0.0, 0.0, 0.0, 0.025, 0.005, 0.04, 0.07, 0.22, 0.14, 0.265, 0.235]"
"[As,9c]",3,,,Slumbot,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,0.0,50,0.0,,,600.0,800.0,600.0,200.0,100.0,100.0,"[5s,Qc]",0.5,1,nan,[],[],,0.65000000000000002,0.47434164902525688,0.57499999999999996,0.48925964476952316,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.015, 0.045, 0.195, 0.2, 0.335, 0.17]"
"[As,9c]",3,,,Slumbot,0.4,1,0,0,raise_NL,150.0,150.0,1.0,50.0,19950.0,200.0,50.0,,,600.0,800.0,550.0,250.0,150.0,100.0,"[5s,Qc]",0.5,1,nan,[],[],,0.65000000000000002,0.47434164902525688,0.57499999999999996,0.48925964476952316,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.015, 0.045, 0.195, 0.2, 0.335, 0.17]"
"[5s,Qc]",3,,,Tartanian7,0.4,0,0,0,call_NL,300.0,100.0,3.0,100.0,19900.0,200.0,100.0,b200,b200,200.0,0.0,100.0,-100.0,-100.0,0.0,"[As,9c]",0.5,1,nan,[],[],,0.39500000000000002,0.48885069295235739,0.495,0.49241750578142529,"[0.0, 0.0, 0.0, 0.025, 0.005, 0.04, 0.07, 0.22, 0.14, 0.265, 0.235]"
"[5s,Qc]",2,"[8h,5c,Ad]",,Tartanian7,0.4,0,0,0,check,400.0,0,0.0,0.0,19800.0,0.0,200.0,,b200c,200.0,0.0,0.0,0.0,0,0,"[As,9c]",0.0,1,nan,[],[],,0.155,0.36190468358395134,0.60750000000000004,0.48702541001471367,"[0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.08, 0.35, 0.0, 0.55, 0.0]"
"[As,9c]",2,"[8h,5c,Ad]",,Slumbot,0.4,1,0,0,bet_NL,400.0,400.0,1.0,0.0,19800.0,400.0,200.0,k,b200c/k,600.0,800.0,400.0,400.0,400.0,0.0,"[5s,Qc]",1.0,1,nan,[],[],,0.82499999999999996,0.37996710383926663,0.86750000000000005,0.33345726862673125,"[0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.055, 0.335, 0.55, 0.0, 0.0]"
"[5s,Qc]",2,"[8h,5c,Ad]",,Tartanian7,0.4,0,0,0,FOLD,800.0,0,0.0,400.0,19800.0,0.0,200.0,kb400,b200c/kb400,200.0,0.0,0.0,0.0,0,0,"[As,9c]",0.0,1,nan,[],[],,0.155,0.36190468358395134,0.60750000000000004,0.48702541001471367,"[0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.08, 0.35, 0.0, 0.55, 0.0]"
"[Jd,6h]",3,,,Slumbot,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,0.0,100,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0,"[4c,6c]",0.5,2,200.0,[],[],,0.64000000000000001,0.45596052460711989,0.54749999999999999,0.4888698702108773,"[0.0, 0.0, 0.0, 0.02, 0.03, 0.05, 0.07, 0.23, 0.19, 0.21, 0.2]"
"[4c,6c]",3,,,Tartanian7,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,0.0,50,0.0,,,250.0,350.0,250.0,100.0,100.0,0.0,"[Jd,6h]",0.5,2,-200.0,[],[],,0.34499999999999997,0.46203354856546947,0.38250000000000001,0.47428235261287127,"[0.0, 0.0, 0.0, 0.02, 0.08, 0.065, 0.035, 0.2, 0.055, 0.345, 0.2]"
